system_id,system_name,label,year,modality,invasiveness,speech_condition,task,vocabulary_kind,V,trajectory,operating_point,plot_eligible,exclusion_reason,P_neural,P_system,P_system_is_lower_bound,P_neural_ci_low,P_neural_ci_high,P_system_ci_low,P_system_ci_high,uncertainty_neural,uncertainty_system,seed_values_neural,n_seeds_neural,n_trials,n_system_sentences,n_system_blocks,n_system_sessions,ci_method,coverage,H_pS_bits,I_invocab_neural_bits,I_invocab_system_bits,I_neural_ci_low_bits,I_neural_ci_high_bits,OVMI_neural_bits,OVMI_system_bits,reference,reference_entropy_bits,chance_level,at_or_below_chance,ovmi_check_abs_error_neural,ovmi_check_abs_error_system,source
meg_masc_2023_v50,MEG-MASC,MEG-MASC 2023 (V=50),2023,MEG,non-invasive,perceived,naturalistic story listening; local 50-way word classification,top-50 frequency-ranked pre-tokenized lexical tokens across the four MEG-MASC stories,50,False,True,True,,0.0853333333333,,False,0.0814033912925,0.0892632753742,,,seed_sem,none,0.093;0.083;0.080,3,,,,,mean +/- SEM across three seed-level top-1 accuracies; test-set sampling excluded,0.397030280231,4.92138692065,0.0837421135819,,0.0757078502406,0.0920364598907,0.0332481548225,,subtlex-uk,9.77172891764,0.02,False,0,,"Local V=50 evaluation on MEG-MASC (Gwilliams et al., 2023): supplied top-1 accuracies 9.3%, 8.3%, and 8.0% across three training seeds. Vocabulary derived from the 50 most frequent pre-tokenized lexical tokens across the four supplied MASC stories. https://doi.org/10.1038/s41597-023-02752-5; dataset https://doi.org/10.17605/OSF.IO/AG3KJ; SUBTLEX-UK: van Heuven et al. (2014), Quarterly Journal of Experimental Psychology 67:1176-1190, Spelling/FreqCount. https://doi.org/10.1080/17470218.2013.850521"
dascoli_libribrain100_s0_v50,LibriBrain100,LibriBrain100 2025 (V=50),2025,MEG,non-invasive,perceived,LibriBrain100 subject 0; Sherlock test-set word classification,documented 50-word Sherlock evaluation vocabulary,50,False,True,True,,0.258,,False,0.256,0.26,,,seed_sem,none,0.256;0.256;0.262,3,,,,,mean +/- SEM across three seed-level top-1 balanced accuracies; test-set sampling excluded,0.389913010102,4.98178106148,0.609015550767,,0.601562488944,0.616493547196,0.237463086598,,subtlex-uk,9.77172891764,0.02,False,0,,"Local evaluation of the method of d'Ascoli et al. (2025), Nature Communications 16:10521, trained on LibriBrain100 subject 0 and evaluated on the Sherlock test set with the documented 50-word vocabulary: top-1 balanced accuracies 25.6%, 25.6%, and 26.2% across three seeds. https://doi.org/10.1038/s41467-025-65499-0; SUBTLEX-UK: van Heuven et al. (2014), Quarterly Journal of Experimental Psychology 67:1176-1190, Spelling/FreqCount. https://doi.org/10.1080/17470218.2013.850521"
armeni_2022_v50,Armeni et al.,Armeni 2022 (V=50),2022,MEG,non-invasive,perceived,audiobook listening; local 50-way balanced word classification,top-50 frequency-ranked tokens in the Armeni Sherlock plaintext,50,False,True,True,,0.207666666667,,False,0.204818665418,0.210514667915,,,seed_sem,none,0.211;0.210;0.202,3,,,,,mean +/- SEM across three seed-level top-1 balanced accuracies; test-set sampling excluded,0.407596948556,4.99552789636,0.430751978832,,0.42108817328,0.440476207911,0.175573192157,,subtlex-uk,9.77172891764,0.02,False,0,,"Armeni et al. (2022), Scientific Data 9:278, 10-hour within-participant MEG narrative dataset; local V=50 evaluation top-1 balanced accuracies 21.1%, 21.0%, and 20.2% across three seeds. Vocabulary derived from the 50 most frequent normalized word tokens in https://sherlock-holm.es/stories/plain-text/advs.txt. https://doi.org/10.1038/s41597-022-01382-7; SUBTLEX-UK: van Heuven et al. (2014), Quarterly Journal of Experimental Psychology 67:1176-1190, Spelling/FreqCount. https://doi.org/10.1080/17470218.2013.850521"
tang_2023_v6867,Tang et al.,"Tang 2023 (V=6,867)",2023,fMRI,non-invasive,perceived,continuous reconstruction of perceived stories,"published 6,867-word decoder vocabulary; words occurring at least twice in the encoding-model training data",6867,False,True,True,,,0.0665333333333,True,,,0.0617013795072,0.0713652871595,none,participant_sem,,,,,,,mean +/- SEM across three participant-level WERs; propagated through the historical symmetric-channel estimate,0.850072343675,8.69811431352,,0.419539131655,,,,0.35663861291,subtlex-uk,9.77172891764,0.000145623998835,False,,0,"Tang et al. (2023), Nature Neuroscience 26:858-866, perceived-speech test-story WERs S1 94.07%, S2 93.54%, and S3 92.43%. The participant mean and SEM are computed locally. The decoder vocabulary contains the 6,867 words occurring at least twice in the encoding-model training data. https://doi.org/10.1038/s41593-023-01304-9; SUBTLEX-UK: van Heuven et al. (2014), Quarterly Journal of Experimental Psychology 67:1176-1190, Spelling/FreqCount. https://doi.org/10.1080/17470218.2013.850521"
brain2qwerty_v2,Brain2Qwerty v2,Brain2Qwerty v2,2026,MEG,non-invasive,typed,delayed typing by healthy participants,open sentence generation; no fixed word-class vocabulary,,False,False,False,typing is not speech and no fixed vocabulary maps WER to the requested plane,,0.61,True,,,,,,,,,,,,,,,,,,,,,,subtlex-uk,9.77172891764,,,,,"Zhang, Levy et al. (2026), Accurate Decoding of Natural Sentences from Non-Invasive Brain Recordings (Brain2Qwerty v2), abstract p. 1 and Discussion p. 10. https://facebookresearch.github.io/brain2qwerty/assets/brain2qwerty_v2.pdf; 0.61 is 1 - reported mean WER 0.39"
moses_2021_v50,Moses et al.,Moses 2021 (V=50),2021,ECoG,invasive,attempted,isolated-word classification / sentence decoding,published Moses 50-word set,50,False,True,True,,0.471,0.744,True,0.460702037819,0.481322707687,0.629,0.829,wilson95,published95,,,9000,150,15,,"neural: Wilson 95% binomial CI on 9,000 isolated-word attempts; system: published 95% CI for median WER across 15 ten-sentence blocks",0.172670966964,4.27413191896,1.3763346757,2.65901952746,1.33304502543,1.4200948612,0.23765303932,0.459135472982,subtlex-uk,9.77172891764,0.02,False,0,0,"Moses et al. (2021), NEJM 385:217-227, Results/Word Detection and Classification, pp. 222-223: 47.1% over 9,000 isolated-word attempts; Results, p. 221: median WER 25.6% (95% CI 17.1-37.1%) with language model across 15 blocks of 10 sentence trials (150 trials total). https://doi.org/10.1056/NEJMoa2027540; SUBTLEX-UK: van Heuven et al. (2014), Quarterly Journal of Experimental Psychology 67:1176-1190, Spelling/FreqCount. https://doi.org/10.1080/17470218.2013.850521"
willett_2023_v50,Willett et al.,Willett 2023 (V=50),2023,intracortical,invasive,attempted,isolated-word classification / sentence decoding,Moses 50-word set reused by Willett,50,False,True,True,,0.94,0.909,True,0.923528925209,0.953103527324,0.888,0.928,wilson95,bootstrap95,,,1000,250,,5,"neural: Wilson 95% binomial CI on 20 trials x 50 words; system: published 95% percentile CI from 10,000 bootstrap resamples over 250 sentence trials",0.172670966964,4.27413191896,3.79910847358,3.59681543219,3.68994695613,3.88937385352,0.655995733734,0.621065598667,subtlex-uk,9.77172891764,0.02,False,0,0,"Willett et al. (2023), Nature 620:1031-1036, Fig. 1d and Results p. 1032: 94% 50-way isolated-word accuracy (20 trials/word); Table 1 p. 1034: 9.1% 50-word WER (95% trial-bootstrap CI 7.2-11.2%; 250 vocal evaluation trials) and 23.8% 125,000-word WER (95% trial-bootstrap CI 21.8-25.9%; 400 vocal evaluation trials). https://doi.org/10.1038/s41586-023-06377-x; SUBTLEX-UK: van Heuven et al. (2014), Quarterly Journal of Experimental Psychology 67:1176-1190, Spelling/FreqCount. https://doi.org/10.1080/17470218.2013.850521"
willett_2023_v125k,Willett et al.,Willett 2023 (V=125k),2023,intracortical,invasive,attempted,continuous sentence decoding,"CMUdict proxy for reported 125,000-word LM lexicon",125000,False,True,True,,,0.762,True,,,0.741,0.782,none,bootstrap95,,,,400,,5,"published 95% percentile CI from 10,000 bootstrap resamples over 400 sentence trials",0.978779327398,9.63641536887,,7.19049414793,,,,7.03790702577,subtlex-uk,9.77172891764,7.93323390347e-06,False,,0,"Willett et al. (2023), Nature 620:1031-1036, Fig. 1d and Results p. 1032: 94% 50-way isolated-word accuracy (20 trials/word); Table 1 p. 1034: 9.1% 50-word WER (95% trial-bootstrap CI 7.2-11.2%; 250 vocal evaluation trials) and 23.8% 125,000-word WER (95% trial-bootstrap CI 21.8-25.9%; 400 vocal evaluation trials). https://doi.org/10.1038/s41586-023-06377-x; CMU Pronouncing Dictionary word list (the 125k LM lexicon named by Willett/Card); retrieved from https://raw.githubusercontent.com/cmusphinx/cmudict/master/cmudict.dict; SUBTLEX-UK: van Heuven et al. (2014), Quarterly Journal of Experimental Psychology 67:1176-1190, Spelling/FreqCount. https://doi.org/10.1080/17470218.2013.850521"
card_2024_v125k,Card et al.,Card 2024 (V=125k),2024,intracortical,invasive,attempted,continuous sentence decoding,"CMUdict proxy for reported 125,000-word LM lexicon",125000,False,True,True,,,0.975,True,,,0.969,0.98,none,bootstrap95,,,,,,5,"published 95% CI from 10,000 bootstrap resamples over individual sentence trials pooled across the final five evaluation sessions; exact sentence count not reported",0.978779327398,9.63641536887,,9.35413030913,,,,9.15562937236,subtlex-uk,9.77172891764,7.93323390347e-06,False,,0,"Card et al. (2024), NEJM 391:609-618, Results/Online decoding performance: final five 125,000-word Copy Task sessions WER 2.5% (95% CI 2.0-3.1%). The paper estimates confidence intervals by 10,000-fold resampling of individual sentence trials; the aggregate is over five sessions. https://doi.org/10.1056/NEJMoa2314132; CMU Pronouncing Dictionary word list (the 125k LM lexicon named by Willett/Card); retrieved from https://raw.githubusercontent.com/cmusphinx/cmudict/master/cmudict.dict; SUBTLEX-UK: van Heuven et al. (2014), Quarterly Journal of Experimental Psychology 67:1176-1190, Spelling/FreqCount. https://doi.org/10.1080/17470218.2013.850521"
