reference,V,coverage,H_pS_bits,selection
subtlex-uk,827,0.785894054195,7.70903493559,top-frequency
subtlex-uk,863,0.789639976187,7.74043817973,top-frequency
subtlex-uk,901,0.793440775656,7.7723045532,top-frequency
subtlex-uk,940,0.797164248898,7.80357327898,top-frequency
subtlex-uk,980,0.800782964611,7.83406428501,top-frequency
subtlex-uk,1000,0.802528498708,7.84879738139,top-frequency
subtlex-uk,1023,0.804495753874,7.86540457836,top-frequency
subtlex-uk,1067,0.808106056264,7.89596150694,top-frequency
subtlex-uk,1114,0.811778697564,7.92711499258,top-frequency
subtlex-uk,1162,0.815349298189,7.95747328066,top-frequency
subtlex-uk,1212,0.818901718698,7.98772931145,top-frequency
subtlex-uk,1265,0.822503354918,8.01844627374,top-frequency
subtlex-uk,1320,0.826077693696,8.04897173793,top-frequency
subtlex-uk,1377,0.829616653879,8.07924321862,top-frequency
subtlex-uk,1436,0.833109224275,8.10917986488,top-frequency
subtlex-uk,1499,0.836691505389,8.13990053396,top-frequency
subtlex-uk,1564,0.840208834852,8.17013398578,top-frequency
subtlex-uk,1631,0.843668143617,8.19992523202,top-frequency
subtlex-uk,1702,0.847156703183,8.23004102467,top-frequency
subtlex-uk,1776,0.850607995245,8.25992094298,top-frequency
subtlex-uk,1853,0.854028623545,8.28960175949,top-frequency
subtlex-uk,1933,0.857427715322,8.31913862096,top-frequency
subtlex-uk,2017,0.860823673793,8.34872065221,top-frequency
subtlex-uk,2104,0.864139589184,8.37772896597,top-frequency
subtlex-uk,2196,0.867438425081,8.40672340998,top-frequency
subtlex-uk,2291,0.870649483788,8.43507002602,top-frequency
subtlex-uk,2390,0.873838287097,8.46328702569,top-frequency
subtlex-uk,2494,0.877018369701,8.4915137457,top-frequency
subtlex-uk,2602,0.880145508356,8.51936922305,top-frequency
subtlex-uk,2714,0.883205994847,8.54674731077,top-frequency
subtlex-uk,2832,0.886249833171,8.5740915677,top-frequency
subtlex-uk,2955,0.889259834764,8.601221744,top-frequency
subtlex-uk,3083,0.892224547193,8.62804433694,top-frequency
subtlex-uk,3217,0.89516244804,8.65472495439,top-frequency
subtlex-uk,3356,0.898042040639,8.68098350549,top-frequency
subtlex-uk,3501,0.900879958283,8.7069709157,top-frequency
subtlex-uk,3653,0.903701336831,8.73289775901,top-frequency
subtlex-uk,3811,0.906479855519,8.75852571964,top-frequency
subtlex-uk,3977,0.909246763126,8.78413958858,top-frequency
subtlex-uk,4149,0.911962610734,8.80937507359,top-frequency
subtlex-uk,4329,0.914642122898,8.83438746424,top-frequency
subtlex-uk,4517,0.917272459013,8.8590672119,top-frequency
subtlex-uk,4712,0.919837788941,8.88326044097,top-frequency
subtlex-uk,4917,0.922377660757,8.90733016292,top-frequency
subtlex-uk,5130,0.924865079442,8.93101487382,top-frequency
subtlex-uk,5352,0.927305032506,8.95436450041,top-frequency
subtlex-uk,5584,0.929709785454,8.97748567796,top-frequency
subtlex-uk,5826,0.932055729419,9.00017876785,top-frequency
subtlex-uk,6078,0.934344792971,9.02245055658,top-frequency
subtlex-uk,6342,0.936592583147,9.04444728476,top-frequency
subtlex-uk,6617,0.938789888425,9.06607053707,top-frequency
subtlex-uk,6904,0.940938592753,9.08734011832,top-frequency
subtlex-uk,7203,0.943040302447,9.10826058033,top-frequency
subtlex-uk,7515,0.945085389532,9.12875321625,top-frequency
subtlex-uk,7841,0.947086486388,9.14892599636,top-frequency
subtlex-uk,8181,0.949047916183,9.16880767517,top-frequency
subtlex-uk,8535,0.950949699133,9.1882177571,top-frequency
subtlex-uk,8905,0.952806262329,9.2072891051,top-frequency
