panel,P,parameter,x_median,relative_median,relative_p05,relative_p95,absolute_bits_median,absolute_bits_p95,ratio_median,alignment_high_median,alignment_low_median,frequency_correlation_mean
A,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A,0.25,0.05,0.021636892936812823,0.06711115173055442,-1.1057910649763192,1.16939141395733,0.0011627932384225548,0.0035402496133563454,1.0006711115173057,4.12172286493807,-3.9628999025915954,0.0034366599290585136
A,0.25,0.06425243169567638,0.027814746398069273,0.0191623538122395,-1.2225207276850132,1.433094290513467,0.0015798041736135582,0.004166960614185426,1.0001916235381225,5.361807407637855,-5.032359837759941,-0.0016965457594945966
A,0.25,0.08256749957615121,0.03571704679007468,0.08304045354350215,-1.8337692209946284,2.010505887008794,0.002310072967400517,0.006050675863133445,1.000830404535435,6.926335959582908,-6.421777606456598,-0.0025974680602561537
A,0.25,0.10610325253598889,0.04586461350514204,0.21329419571661656,-2.078583243628042,2.662565491840076,0.0027189341926753263,0.007828669304578135,1.002132941957166,8.973393352221027,-8.162791343082457,0.0007941963356346191
A,0.25,0.13634783972515457,0.05889280701803948,0.09788524060699855,-2.7409628128015884,3.4104549642508086,0.0032031644350054567,0.009764561864710917,1.00097885240607,11.676873251241155,-10.317377890533013,-0.006389486857357521
A,0.25,0.17521360517587056,0.07552855110582121,0.5931271692101503,-3.241558879368161,4.370361267768277,0.004351289666786051,0.012662949125439409,1.0059312716921016,15.232305527483572,-12.944603923486497,0.0021195252666202286
A,0.25,0.22515800397431665,0.09690053769026716,0.8657948481591506,-4.267166964154094,6.103710384026921,0.006078573720574909,0.017517394461545974,1.0086579484815914,20.00682867347423,-16.214253347801343,0.004827511784206817
A,0.25,0.28933898542189235,0.12396091356565708,1.1171344508784888,-4.657829586650922,7.850892783846149,0.006795049763190536,0.02149672325019286,1.0111713445087849,26.170841113770294,-20.049321405936038,-0.0006461406002101147
A,0.25,0.37181466795432894,0.15816256022619785,2.1570900659983163,-5.644089857780622,10.818828489241216,0.009623730321138307,0.029374866705422012,1.0215709006599831,34.42859495308325,-24.49449489313328,0.0029887239530006346
A,0.25,0.4777999311237224,0.20103595355455234,3.4265676913796885,-6.230651134994073,14.348339010747235,0.014027201780287102,0.038656284026887484,1.034265676913797,45.40003720972684,-29.419005839143416,0.0019109450301964552
A,0.25,0.6139961487745171,0.25346219684510873,5.277010589031066,-6.190604436942121,20.95755139096753,0.017024238439767247,0.056462358358728315,1.0527701058903107,59.349026234278696,-34.43017442682053,0.0009116016521821231
A,0.25,0.7890149122108604,0.3163293882487248,7.762142360270882,-7.2764144828405914,25.89105430481988,0.023609464518155487,0.06975385431115226,1.0776214236027088,78.16630497704301,-39.11588307170047,-0.005974904210455558
A,0.25,1.013922535073968,0.3870004079006431,11.995637703667168,-5.416555171293851,34.76309777404106,0.033097021360797785,0.09365628873148626,1.1199563770366718,100.31593123212306,-42.654634514759216,-0.006718416247011424
A,0.25,1.302939768590944,0.46588690826202483,19.105415463625636,-4.049505920651513,47.97264511572873,0.051472464238572435,0.129244520479037,1.1910541546362563,127.44589879721168,-44.43770204195131,0.0025089952334303193
A,0.25,1.6743409696994005,0.5488359985861362,27.217158475210084,0.9339320679270617,64.33421225498954,0.07332655073416311,0.17332470188446064,1.2721715847521007,158.23144047876653,-44.092471368382334,0.004098988906792325
A,0.25,2.151609575817667,0.6249852275370891,36.6862567160607,4.310724620446454,81.21137895858712,0.0988375280537434,0.2187939753087035,1.3668625671606072,188.78657993540105,-41.846088013549306,0.007824363641713843
A,0.25,2.7649229461197575,0.6924652999187781,46.119915098487965,11.95343194756985,89.9084394299305,0.12425302580373315,0.24222498286487057,1.4611991509848796,216.62550440743217,-38.62494575670722,0.005072498864704467
A,0.25,3.5530604547873605,0.7574091547637182,52.25392994094949,16.46379305069807,102.62046914410251,0.14077885641016985,0.2764728376737929,1.522539299409495,243.60894851347206,-34.68678690816134,-0.012504897430447304
A,0.25,4.565855483636677,0.8065228577343562,67.99578174552374,22.307115055353087,126.11527294087108,0.18318944442394597,0.33977088269793126,1.6799578174552372,265.6816683081738,-31.110374059601305,0.008318553289718332
A,0.25,5.867346351893901,0.8479013749527826,73.15744382977451,24.170896389099486,133.55301293984084,0.19709563073792707,0.35980911776492835,1.7315744382977452,284.388125768254,-27.77549445093449,0.0018206056392144668
A,0.25,7.5398254141987815,0.8807469107031853,77.5464359058685,28.03455848236307,138.24283303688114,0.20892014395567077,0.3724441006413716,1.775464359058685,299.0811244777726,-25.126113735282228,-0.0038143322827312964
A,0.25,9.689042348462637,0.9066056273467666,84.61443683687352,39.120991583119064,148.56921387635268,0.22796225407633244,0.4002647083368983,1.8461443683687353,310.8819557628989,-22.765129873951295,0.001209792711348516
